Load_kW
" 19,761 "
" 18,403 "
" 18,372 "
" 19,736 "
" 19,440 "
" 19,039 "
" 18,897 "
" 18,107 "
" 18,877 "
" 19,005 "
" 18,007 "
" 17,269 "
" 18,040 "
" 18,069 "
" 17,263 "
" 18,739 "
" 20,227 "
" 20,292 "
" 20,263 "
" 20,385 "
" 20,821 "
" 20,932 "
" 21,692 "
" 20,837 "
" 19,160 "
" 18,913 "
" 19,015 "
" 19,537 "
" 20,470 "
" 20,211 "
" 19,027 "
" 19,301 "
" 19,492 "
" 18,993 "
" 18,778 "
" 19,184 "
" 18,765 "
" 17,999 "
" 17,860 "
" 19,294 "
" 20,750 "
" 21,295 "
" 21,592 "
" 20,756 "
" 20,292 "
" 21,522 "
" 21,524 "
" 21,493 "
" 20,912 "
" 20,479 "
" 18,671 "
" 19,922 "
" 20,000 "
" 19,577 "
" 19,763 "
" 19,567 "
" 18,831 "
" 19,082 "
" 19,609 "
" 18,906 "
" 18,259 "
" 18,482 "
" 18,105 "
" 19,246 "
" 20,381 "
" 20,687 "
" 20,237 "
" 20,121 "
" 20,383 "
" 19,900 "
" 20,012 "
" 20,421 "
" 20,359 "
" 19,506 "
" 18,421 "
" 18,959 "
" 19,248 "
" 19,347 "
" 18,870 "
" 18,074 "
" 18,308 "
" 19,054 "
" 18,659 "
" 18,114 "
" 18,135 "
" 18,257 "
" 18,037 "
" 19,075 "
" 19,154 "
" 19,501 "
" 19,678 "
" 19,732 "
" 20,379 "
" 20,795 "
" 21,701 "
" 21,393 "
" 20,484 "
" 19,854 "
" 18,737 "
" 19,397 "
" 20,130 "
" 19,070 "
" 18,630 "
" 19,169 "
" 19,201 "
" 18,861 "
" 18,788 "
" 18,583 "
" 18,243 "
" 18,472 "
" 18,812 "
" 19,421 "
" 19,817 "
" 20,398 "
" 19,454 "
" 19,038 "
" 19,491 "
" 19,469 "
" 19,314 "
" 19,527 "
" 18,941 "
" 18,229 "
" 18,242 "
" 19,303 "
" 18,907 "
" 18,659 "
" 19,102 "
" 18,225 "
" 17,753 "
" 16,408 "
" 15,577 "
" 15,371 "
" 15,072 "
" 15,150 "
" 14,276 "
" 15,481 "
" 16,561 "
" 15,745 "
" 15,733 "
" 16,129 "
" 15,740 "
" 16,144 "
" 16,793 "
" 16,352 "
" 16,496 "
" 17,037 "
" 16,536 "
" 16,623 "
" 17,551 "
" 17,920 "
" 17,800 "
" 17,509 "
" 17,931 "
" 17,678 "
" 16,932 "
" 17,897 "
" 17,338 "
" 16,665 "
" 17,236 "
" 18,652 "
" 18,202 "
" 18,491 "
" 18,835 "
" 18,379 "
" 18,817 "
" 19,761 "
" 19,162 "
" 18,413 "
" 18,190 "
" 17,922 "
" 16,816 "
" 17,421 "
" 18,259 "
" 18,259 "
" 17,699 "
" 17,825 "
" 17,325 "
" 17,923 "
" 18,378 "
" 17,248 "
" 16,976 "
" 17,618 "
" 17,719 "
" 18,037 "
" 18,424 "
" 18,640 "
" 17,272 "
" 17,458 "
" 18,370 "
" 17,712 "
" 18,362 "
" 18,492 "
" 17,213 "
" 16,381 "
" 17,018 "
" 17,862 "
" 18,306 "
" 18,160 "
" 17,538 "
" 17,188 "
" 17,533 "
" 18,107 "
" 17,388 "
" 16,493 "
" 17,433 "
" 16,935 "
" 16,683 "
" 17,584 "
" 18,276 "
" 18,117 "
" 18,175 "
" 18,146 "
" 17,767 "
" 18,300 "
" 19,832 "
" 18,093 "
" 18,106 "
" 18,437 "
" 16,949 "
" 18,023 "
" 18,995 "
" 18,118 "
" 17,653 "
" 18,131 "
" 18,595 "
" 17,991 "
" 17,634 "
" 17,302 "
" 17,332 "
" 16,986 "
" 17,301 "
" 17,908 "
" 18,349 "
" 19,023 "
" 18,620 "
" 18,508 "
" 19,612 "
" 21,231 "
" 19,886 "
" 18,911 "
" 19,623 "
" 18,694 "
" 18,576 "
" 19,533 "
" 19,044 "
" 18,923 "
" 19,934 "
" 18,896 "
" 18,360 "
" 19,277 "
" 19,076 "
" 18,279 "
" 18,085 "
" 18,028 "
" 17,899 "
" 19,131 "
" 20,152 "
" 19,829 "
" 19,196 "
" 19,669 "
" 20,262 "
" 19,829 "
" 20,507 "
" 20,333 "
" 19,638 "
